URL_ID,URL,positive_score,negative_score,polarity_score,subjectivity_score,Average sentence length,Percentage complex words,Fog index,Avg words per sentence,Complex word count,Word Count,Syllable per word,Personal pronoun,Average word length
1.0,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,4,6,0.14380907287157288,0.4852732039785611,19,0.3148148148148148,7.725925925925925,19,136,432,2.6,15,8
2.0,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,9,6,0.1772082431457432,0.4937761544011543,15,0.37659033078880405,6.1506361323155225,15,148,393,2.7,11,8
3.0,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,35,23,0.14199889258028797,0.5423709688244571,15,0.391651865008881,6.156660746003553,15,441,1126,2.6,51,8
4.0,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,5,1,0.07705607884179314,0.45832897261468686,18,0.4418604651162791,7.376744186046512,18,114,258,2.8,2,9
5.0,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,10,11,0.08961715367965369,0.4923073206555349,11,0.428927680798005,4.571571072319202,11,172,401,2.8,28,9
6.0,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,18,12,0.1456115158554183,0.5203704290289655,14,0.4695898161244696,5.787835926449788,14,332,707,2.7,27,9
7.0,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,23,27,0.09295384155140254,0.5389122936683913,16,0.36921420882669537,6.547685683530678,16,343,929,2.5,45,8
8.0,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,32,11,0.07761596468048083,0.3532413285639094,14,0.36308805790108567,5.745235223160435,14,301,829,2.7,14,8
9.0,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,38,11,0.10987189524423568,0.37305885603757966,12,0.3384615384615385,4.935384615384616,12,286,845,2.6,11,8
10.0,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,8,16,-0.015456989247311833,0.48938172043010764,10,0.32212885154061627,4.128851540616247,10,115,357,2.6,26,8
11.0,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,10,2,0.051445578231292526,0.5035578231292518,13,0.37595907928388744,5.350383631713555,13,147,391,2.8,16,8
12.0,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,22,31,0.17351438012342266,0.44025352307267196,11,0.3333333333333333,4.533333333333334,11,249,747,2.6,26,9
13.0,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,5,3,0.04797835497835498,0.3882294372294373,10,0.38671875,4.1546875000000005,10,99,256,2.7,3,8
